name,year,month,day,hour,lat,long,status,category,wind
Barry,2001,8,4,18,27.1,-87.5,tropical storm,0,35
Barry,2001,8,5,0,27.3,-87.3,tropical storm,0,35
Barry,2001,8,5,6,27.5,-86.7,tropical storm,0,40
Barry,2001,8,5,12,28.1,-86.4,tropical storm,0,50
Barry,2001,8,5,18,28.6,-86.4,tropical storm,0,60
Barry,2001,8,6,0,29.5,-86.3,tropical storm,0,60
Barry,2001,8,6,5,30.4,-86.3,tropical storm,0,60
Barry,2001,8,6,6,30.6,-86.4,tropical storm,0,60
Barry,2001,8,6,12,31.8,-86.9,tropical depression,-1,25
Barry,2001,8,6,18,32.7,-87.7,tropical depression,-1,20
Barry,2001,8,7,0,33.3,-88.5,tropical depression,-1,15
Chantal,2001,8,14,18,12.8,-37,tropical depression,-1,25
Chantal,2001,8,15,0,12.9,-39.3,tropical depression,-1,25
Chantal,2001,8,15,6,12.6,-41.6,tropical depression,-1,25
Chantal,2001,8,15,12,12.3,-43.9,tropical depression,-1,30
Chantal,2001,8,15,18,12.3,-46.3,tropical depression,-1,30
Chantal,2001,8,16,0,12.4,-48.8,tropical depression,-1,30
Chantal,2001,8,16,6,12.4,-51.3,tropical depression,-1,30
Chantal,2001,8,17,12,13.7,-64.6,tropical storm,0,35
Chantal,2001,8,17,18,14.2,-66.4,tropical storm,0,35
Chantal,2001,8,18,0,14.4,-68.2,tropical storm,0,45
Chantal,2001,8,18,6,14.6,-70.4,tropical storm,0,55
Chantal,2001,8,18,12,14.8,-72.9,tropical storm,0,50
Chantal,2001,8,18,18,15.3,-75.2,tropical storm,0,50
Chantal,2001,8,19,0,15.3,-77.2,tropical storm,0,55
Chantal,2001,8,19,6,15.4,-78.4,tropical storm,0,60
Chantal,2001,8,19,12,15.7,-79.6,tropical storm,0,60
Chantal,2001,8,19,18,16.2,-81.1,tropical storm,0,55
Chantal,2001,8,20,0,16.7,-82.6,tropical storm,0,50
Chantal,2001,8,20,6,17.1,-84.1,tropical storm,0,50
Chantal,2001,8,20,12,17.5,-85.6,tropical storm,0,50
Chantal,2001,8,20,18,17.9,-86.7,tropical storm,0,55
Chantal,2001,8,21,0,18.1,-87.7,tropical storm,0,60
Chantal,2001,8,21,2,18.1,-87.8,tropical storm,0,60
Chantal,2001,8,21,6,18.2,-88.1,tropical storm,0,55
Chantal,2001,8,21,12,18.4,-88.7,tropical storm,0,45
Chantal,2001,8,21,18,18.6,-89.5,tropical storm,0,35
Chantal,2001,8,22,0,18.7,-90.3,tropical depression,-1,25
Chantal,2001,8,22,6,18.4,-91.2,tropical depression,-1,25
Chantal,2001,8,22,12,17.9,-92.2,tropical depression,-1,25
Dean,2001,8,22,12,17.9,-64.3,tropical storm,0,45
Dean,2001,8,22,18,19.1,-65.9,tropical storm,0,50
Dean,2001,8,23,0,19.8,-67.4,tropical storm,0,50
Dean,2001,8,23,6,20.7,-68.9,tropical storm,0,50
Dean,2001,8,23,12,21.6,-69.8,tropical depression,-1,30
Dean,2001,8,26,18,35.5,-65,tropical depression,-1,30
Dean,2001,8,27,0,36.3,-63.3,tropical storm,0,40
Dean,2001,8,27,6,37.7,-62,tropical storm,0,50
Dean,2001,8,27,12,38.9,-60.7,tropical storm,0,55
Dean,2001,8,27,18,40.6,-59.4,tropical storm,0,60
Dean,2001,8,28,0,42.1,-57.5,tropical storm,0,60
Dean,2001,8,28,6,43.5,-56,tropical storm,0,55
Dean,2001,8,28,12,44,-53.4,tropical storm,0,50
Erin,2001,9,1,18,12.5,-34.3,tropical depression,-1,30
Erin,2001,9,2,0,12.9,-35.9,tropical depression,-1,30
Erin,2001,9,2,6,13.2,-37.5,tropical storm,0,40
Erin,2001,9,2,12,13.5,-39,tropical storm,0,45
Erin,2001,9,2,18,14.1,-40.6,tropical storm,0,45
Erin,2001,9,3,0,14.7,-42.2,tropical storm,0,45
Erin,2001,9,3,6,15.3,-43.7,tropical storm,0,50
Erin,2001,9,3,12,15.9,-45.3,tropical storm,0,50
Erin,2001,9,3,18,16.3,-47.1,tropical storm,0,40
Erin,2001,9,4,0,16.7,-48.7,tropical storm,0,40
Erin,2001,9,4,6,17,-50.3,tropical storm,0,45
Erin,2001,9,4,12,17,-52,tropical storm,0,45
Erin,2001,9,4,18,17.2,-53.4,tropical storm,0,45
Erin,2001,9,5,0,17.4,-54.8,tropical storm,0,45
Erin,2001,9,5,6,17.8,-55.9,tropical storm,0,45
Erin,2001,9,5,12,18.1,-57,tropical storm,0,35
Erin,2001,9,6,18,23.2,-58.4,tropical depression,-1,25
Erin,2001,9,7,0,23.9,-58.1,tropical depression,-1,25
Erin,2001,9,7,6,24.4,-57.6,tropical depression,-1,30
Erin,2001,9,7,12,24.9,-57.8,tropical depression,-1,30
Erin,2001,9,7,18,25.3,-58,tropical storm,0,35
Erin,2001,9,8,0,26,-58.3,tropical storm,0,35
Erin,2001,9,8,6,26.5,-58.8,tropical storm,0,40
Erin,2001,9,8,12,27.2,-59.2,tropical storm,0,45
Erin,2001,9,8,18,28.4,-59.8,tropical storm,0,60
Erin,2001,9,9,0,29.7,-60.4,hurricane,1,75
Erin,2001,9,9,6,30.6,-61.3,hurricane,2,90
Erin,2001,9,9,12,31.5,-62.2,hurricane,2,95
Erin,2001,9,9,18,32.4,-62.8,hurricane,3,105
Erin,2001,9,10,0,33.3,-63.3,hurricane,3,105
Erin,2001,9,10,6,34.2,-64.1,hurricane,3,105
Erin,2001,9,10,12,34.9,-64.7,hurricane,3,100
Erin,2001,9,10,18,35.7,-65.4,hurricane,2,90
Erin,2001,9,11,0,36.4,-65.7,hurricane,1,80
Erin,2001,9,11,6,36.9,-65.9,hurricane,1,80
Erin,2001,9,11,12,37.4,-65.6,hurricane,1,80
Erin,2001,9,11,18,37.8,-65.1,hurricane,1,80
Erin,2001,9,12,0,38,-64.3,hurricane,1,80
Erin,2001,9,12,6,38,-63.3,hurricane,1,75
Erin,2001,9,12,12,37.9,-62.6,hurricane,1,75
Erin,2001,9,12,18,37.9,-62,hurricane,1,75
Erin,2001,9,13,0,38.1,-61.4,hurricane,1,75
Erin,2001,9,13,6,38.3,-61,hurricane,1,70
Erin,2001,9,13,12,38.8,-60.6,hurricane,1,70
Erin,2001,9,13,18,39.6,-60.2,hurricane,1,70
Erin,2001,9,14,0,40.6,-59.3,hurricane,1,70
Erin,2001,9,14,6,42,-58.1,hurricane,1,65
Erin,2001,9,14,12,43.3,-56.7,hurricane,1,65
Erin,2001,9,14,18,44.7,-55.2,hurricane,1,65
Erin,2001,9,15,0,46.7,-52.7,tropical storm,0,60
Felix,2001,9,7,18,13.9,-28.4,tropical depression,-1,30
Felix,2001,9,8,0,14.4,-29.5,tropical depression,-1,30
Felix,2001,9,8,6,14.8,-31,tropical depression,-1,30
Felix,2001,9,8,12,15,-33,tropical depression,-1,30
Felix,2001,9,10,6,16,-43.7,tropical depression,-1,30
Felix,2001,9,10,12,16.5,-44.8,tropical depression,-1,30
Felix,2001,9,10,18,16.9,-45.8,tropical depression,-1,30
Felix,2001,9,11,0,17.3,-46.8,tropical depression,-1,30
Felix,2001,9,11,6,17.8,-47.4,tropical depression,-1,30
Felix,2001,9,11,12,18.6,-47.7,tropical storm,0,35
Felix,2001,9,11,18,19.4,-48,tropical storm,0,35
Felix,2001,9,12,0,20.2,-48.4,tropical storm,0,40
Felix,2001,9,12,6,21,-48.8,tropical storm,0,45
Felix,2001,9,12,12,22,-48.9,tropical storm,0,55
Felix,2001,9,12,18,22.9,-49,tropical storm,0,60
Felix,2001,9,13,0,23.9,-48.9,hurricane,1,65
Felix,2001,9,13,6,24.8,-48.6,hurricane,1,75
Felix,2001,9,13,12,25.9,-48.4,hurricane,2,85
Felix,2001,9,13,18,27.1,-48,hurricane,2,95
Felix,2001,9,14,0,28.2,-47.2,hurricane,3,100
Felix,2001,9,14,6,29.3,-46.6,hurricane,3,100
Felix,2001,9,14,12,30.1,-45.5,hurricane,2,95
Felix,2001,9,14,18,30.9,-44.3,hurricane,2,90
Felix,2001,9,15,0,31.2,-42.8,hurricane,2,90
Felix,2001,9,15,6,31.5,-41.4,hurricane,2,90
Felix,2001,9,15,12,31.7,-39.5,hurricane,2,90
Felix,2001,9,15,18,32.1,-37.6,hurricane,2,85
Felix,2001,9,16,0,32.1,-36,hurricane,2,85
Felix,2001,9,16,6,32.6,-34.8,hurricane,1,80
Felix,2001,9,16,12,33.4,-33.3,hurricane,1,75
Felix,2001,9,16,18,34.3,-32.4,hurricane,1,70
Felix,2001,9,17,0,35.1,-32,hurricane,1,70
Felix,2001,9,17,6,35.4,-31.7,hurricane,1,65
Felix,2001,9,17,12,35.3,-31.5,tropical storm,0,60
Felix,2001,9,17,18,35.2,-31.8,tropical storm,0,55
Felix,2001,9,18,0,35,-32,tropical storm,0,45
Felix,2001,9,18,6,34.8,-32,tropical storm,0,40
Felix,2001,9,18,12,34.7,-31.9,tropical storm,0,35
Felix,2001,9,18,18,34.7,-31.7,tropical depression,-1,30
Felix,2001,9,19,0,34.6,-31.6,tropical depression,-1,25
Gabrielle,2001,9,11,18,25.8,-84.1,tropical depression,-1,25
Gabrielle,2001,9,12,0,25.7,-84.6,tropical depression,-1,25
Gabrielle,2001,9,12,6,25.7,-85,tropical depression,-1,25
Gabrielle,2001,9,12,12,25.6,-85.3,tropical depression,-1,25
Gabrielle,2001,9,12,18,25.4,-85.4,tropical depression,-1,30
Gabrielle,2001,9,13,0,25.1,-85.7,tropical depression,-1,30
Gabrielle,2001,9,13,6,25.2,-85.3,tropical depression,-1,30
Gabrielle,2001,9,13,12,25.3,-84.9,tropical storm,0,35
Gabrielle,2001,9,13,18,25.4,-84.5,tropical storm,0,40
Gabrielle,2001,9,14,0,25.4,-84.1,tropical storm,0,45
Gabrielle,2001,9,14,6,25.8,-83.6,tropical storm,0,50
Gabrielle,2001,9,14,12,27.1,-82.6,tropical storm,0,60
Gabrielle,2001,9,14,18,28,-81.8,tropical storm,0,45
Gabrielle,2001,9,15,0,28.6,-81.4,tropical storm,0,40
Gabrielle,2001,9,15,6,28.6,-80.9,tropical storm,0,40
Gabrielle,2001,9,15,12,28.9,-80.1,tropical storm,0,40
Gabrielle,2001,9,15,18,29.8,-79,tropical storm,0,45
Gabrielle,2001,9,16,0,30.4,-77.9,tropical storm,0,50
Gabrielle,2001,9,16,6,30.8,-76.8,tropical storm,0,50
Gabrielle,2001,9,16,12,31.6,-74.9,tropical storm,0,55
Gabrielle,2001,9,16,18,32.3,-72.8,tropical storm,0,55
Gabrielle,2001,9,17,0,33.1,-70.7,hurricane,1,65
Gabrielle,2001,9,17,6,34,-68.5,hurricane,1,65
Gabrielle,2001,9,17,12,35.3,-66.6,hurricane,1,70
Gabrielle,2001,9,17,18,36.2,-64.7,hurricane,1,70
Gabrielle,2001,9,18,0,36.9,-62.9,tropical storm,0,60
Gabrielle,2001,9,18,6,37.9,-61.8,tropical storm,0,55
Gabrielle,2001,9,18,12,39,-60.4,tropical storm,0,55
Gabrielle,2001,9,18,18,40.2,-58.9,tropical storm,0,60
Gabrielle,2001,9,19,0,41.5,-57.5,tropical storm,0,60
AL092001,2001,9,19,18,13.4,-81.9,tropical depression,-1,30
AL092001,2001,9,19,21,13.6,-82.7,tropical depression,-1,30
AL092001,2001,9,20,0,13.9,-83.5,tropical depression,-1,30
AL092001,2001,9,20,6,14.5,-85.1,tropical depression,-1,25
Humberto,2001,9,21,12,25.1,-64.2,tropical depression,-1,25
Humberto,2001,9,21,18,25.8,-65,tropical depression,-1,25
Humberto,2001,9,22,0,26.5,-65.5,tropical depression,-1,25
Humberto,2001,9,22,6,27.2,-65.9,tropical depression,-1,30
Humberto,2001,9,22,12,27.9,-66.3,tropical storm,0,40
Humberto,2001,9,22,18,28.6,-66.7,tropical storm,0,50
Humberto,2001,9,23,0,29.3,-67,tropical storm,0,55
Humberto,2001,9,23,6,30.1,-67.3,tropical storm,0,55
Humberto,2001,9,23,12,31,-67.5,hurricane,1,65
Humberto,2001,9,23,18,31.9,-67.4,hurricane,1,80
Humberto,2001,9,24,0,32.8,-67.1,hurricane,2,85
Humberto,2001,9,24,6,33.8,-66.8,hurricane,1,75
Humberto,2001,9,24,12,35,-66.3,hurricane,1,70
Humberto,2001,9,24,18,35.9,-65.4,hurricane,1,70
Humberto,2001,9,25,0,36.8,-64.3,hurricane,1,65
Humberto,2001,9,25,6,37.7,-63.4,hurricane,1,65
Humberto,2001,9,25,12,38.5,-62.4,hurricane,1,65
Humberto,2001,9,25,18,39.2,-61.6,hurricane,1,65
Humberto,2001,9,26,0,39.6,-60.7,hurricane,1,65
Humberto,2001,9,26,6,40.4,-60.3,hurricane,1,75
Humberto,2001,9,26,12,41,-59.2,hurricane,2,90
Humberto,2001,9,26,18,41.8,-57.5,hurricane,1,80
Humberto,2001,9,27,0,42.2,-54.6,hurricane,1,70
Humberto,2001,9,27,6,42.4,-51.3,hurricane,1,65
Humberto,2001,9,27,12,42.2,-47.5,tropical storm,0,60
Humberto,2001,9,27,18,41.5,-44.5,tropical storm,0,45
Iris,2001,10,4,12,12.3,-58.2,tropical depression,-1,25
Iris,2001,10,4,18,12.8,-59.9,tropical depression,-1,30
Iris,2001,10,5,0,13.4,-61.4,tropical depression,-1,30
Iris,2001,10,5,6,14,-63,tropical depression,-1,30
Iris,2001,10,5,12,14.8,-64.5,tropical storm,0,35
Iris,2001,10,5,18,15.5,-66,tropical storm,0,45
Iris,2001,10,6,0,15.7,-67.7,tropical storm,0,50
Iris,2001,10,6,6,16,-69,tropical storm,0,55
Iris,2001,10,6,12,16.5,-70.5,tropical storm,0,55
Iris,2001,10,6,18,16.9,-72.2,hurricane,1,65
Iris,2001,10,7,0,16.9,-74,hurricane,1,75
Iris,2001,10,7,6,16.9,-75.3,hurricane,1,75
Iris,2001,10,7,12,17.3,-77,hurricane,1,75
Iris,2001,10,7,18,17.4,-78.9,hurricane,1,75
Iris,2001,10,8,0,17.3,-80.6,hurricane,1,80
Iris,2001,10,8,6,17.2,-82.3,hurricane,2,90
Iris,2001,10,8,12,17.1,-84,hurricane,4,120
Iris,2001,10,8,18,16.8,-86,hurricane,4,115
Iris,2001,10,9,0,16.5,-88,hurricane,4,125
Iris,2001,10,9,2,16.3,-88.4,hurricane,4,125
Iris,2001,10,9,6,16.2,-89.9,tropical storm,0,60
Iris,2001,10,9,12,16.2,-91.9,tropical depression,-1,30
Jerry,2001,10,6,12,10.6,-50.6,tropical depression,-1,25
Jerry,2001,10,6,18,10.8,-52.1,tropical depression,-1,30
Jerry,2001,10,7,0,11,-53.8,tropical storm,0,35
Jerry,2001,10,7,6,11.3,-55.7,tropical storm,0,40
Jerry,2001,10,7,12,11.7,-57.7,tropical storm,0,45
Jerry,2001,10,7,18,12.5,-59.5,tropical storm,0,45
Jerry,2001,10,8,0,13.1,-60.2,tropical storm,0,45
Jerry,2001,10,8,6,13.8,-62,tropical storm,0,45
Jerry,2001,10,8,12,14.2,-64,tropical storm,0,35
Jerry,2001,10,8,18,14.5,-66,tropical depression,-1,25
Karen,2001,10,13,6,34.9,-65.3,tropical storm,0,60
Karen,2001,10,13,12,36.2,-64.8,tropical storm,0,60
Karen,2001,10,13,18,37.3,-64.6,hurricane,1,65
Karen,2001,10,14,0,37.9,-64,hurricane,1,65
Karen,2001,10,14,6,38.6,-63.7,hurricane,1,70
Karen,2001,10,14,12,39.3,-63.9,tropical storm,0,60
Karen,2001,10,14,18,40.1,-64.1,tropical storm,0,55
Karen,2001,10,15,0,40.9,-64.4,tropical storm,0,50
Karen,2001,10,15,6,42.3,-65,tropical storm,0,45
Karen,2001,10,15,12,44.2,-64.8,tropical storm,0,40
Lorenzo,2001,10,27,12,27.2,-34.9,tropical depression,-1,30
Lorenzo,2001,10,27,18,27.5,-36.1,tropical depression,-1,30
Lorenzo,2001,10,28,0,27.5,-37.4,tropical depression,-1,30
Lorenzo,2001,10,28,6,27.5,-38.7,tropical depression,-1,30
Lorenzo,2001,10,28,12,27.5,-39.8,tropical depression,-1,30
Lorenzo,2001,10,28,18,27.5,-41,tropical depression,-1,30
Lorenzo,2001,10,29,0,27.2,-41.3,tropical depression,-1,30
Lorenzo,2001,10,29,6,27.7,-41.9,tropical depression,-1,30
Lorenzo,2001,10,29,12,27.8,-42.7,tropical depression,-1,30
Lorenzo,2001,10,29,18,28,-43.7,tropical depression,-1,30
Lorenzo,2001,10,30,0,28.5,-44.6,tropical storm,0,35
Lorenzo,2001,10,30,6,29.4,-45.5,tropical storm,0,35
Lorenzo,2001,10,30,12,30.9,-45.6,tropical storm,0,35
Lorenzo,2001,10,30,18,32.8,-46,tropical storm,0,35
Lorenzo,2001,10,31,0,34.9,-44.9,tropical storm,0,35
Lorenzo,2001,10,31,6,37.4,-43.1,tropical storm,0,35
Michelle,2001,10,29,18,13.3,-83.6,tropical depression,-1,30
Michelle,2001,10,30,0,13.7,-83.6,tropical depression,-1,30
Michelle,2001,10,30,6,13.7,-84.1,tropical depression,-1,30
Michelle,2001,10,30,12,13.3,-83.9,tropical depression,-1,30
Michelle,2001,10,30,18,13,-83.5,tropical depression,-1,30
Michelle,2001,10,31,0,13.7,-83.6,tropical depression,-1,30
Michelle,2001,10,31,6,14.3,-83.4,tropical depression,-1,30
Michelle,2001,10,31,12,14.8,-83.2,tropical depression,-1,30
Michelle,2001,10,31,18,15.3,-83.1,tropical depression,-1,30
Michelle,2001,11,1,0,15.8,-83.1,tropical storm,0,35
Michelle,2001,11,1,6,16.5,-83.4,tropical storm,0,45
Michelle,2001,11,1,12,16.8,-83.6,tropical storm,0,50
Michelle,2001,11,1,18,17,-83.8,tropical storm,0,50
Michelle,2001,11,2,0,17.3,-83.9,tropical storm,0,55
Michelle,2001,11,2,6,17.5,-83.9,tropical storm,0,60
Michelle,2001,11,2,12,17.8,-84,hurricane,1,70
Michelle,2001,11,2,18,18,-84,hurricane,1,80
Michelle,2001,11,3,0,18.5,-84,hurricane,2,90
Michelle,2001,11,3,6,18.8,-84.3,hurricane,3,105
Michelle,2001,11,3,12,18.9,-84.3,hurricane,4,115
Michelle,2001,11,3,18,19.3,-84.1,hurricane,3,110
Michelle,2001,11,4,0,19.7,-83.7,hurricane,4,115
Michelle,2001,11,4,6,20.1,-83.3,hurricane,4,120
Michelle,2001,11,4,12,20.8,-82.5,hurricane,4,120
Michelle,2001,11,4,18,21.5,-81.8,hurricane,4,120
Michelle,2001,11,4,23,22.1,-81.2,hurricane,4,115
Michelle,2001,11,5,0,22.3,-80.9,hurricane,3,105
Michelle,2001,11,5,6,23.1,-79.7,hurricane,1,80
Michelle,2001,11,5,12,24.3,-78,hurricane,1,80
Michelle,2001,11,5,18,25.4,-76.4,hurricane,1,75
Noel,2001,11,5,12,37.8,-50.3,hurricane,1,65
Noel,2001,11,5,18,38.8,-50.2,hurricane,1,65
Noel,2001,11,6,0,39.7,-49.7,tropical storm,0,60
Noel,2001,11,6,6,41.3,-49.2,tropical storm,0,55
Olga,2001,11,24,12,29.5,-49.8,tropical storm,0,50
Olga,2001,11,24,18,30.3,-49.5,tropical storm,0,50
Olga,2001,11,25,0,31.3,-50.6,tropical storm,0,50
Olga,2001,11,25,6,31.8,-52,tropical storm,0,50
Olga,2001,11,25,12,31.7,-53.5,tropical storm,0,55
Olga,2001,11,25,18,30.8,-55,tropical storm,0,60
Olga,2001,11,26,0,30.3,-55.3,tropical storm,0,60
Olga,2001,11,26,6,30.1,-55.6,tropical storm,0,60
Olga,2001,11,26,12,30.6,-55.9,hurricane,1,65
Olga,2001,11,26,18,31.1,-56,hurricane,1,65
Olga,2001,11,27,0,32.1,-56.2,hurricane,1,75
Olga,2001,11,27,6,32.6,-57,hurricane,1,80
Olga,2001,11,27,12,31.5,-57.2,hurricane,1,80
Olga,2001,11,27,18,32,-56,hurricane,1,75
Olga,2001,11,28,0,32.3,-55.8,hurricane,1,75
Olga,2001,11,28,6,32.6,-55.7,hurricane,1,75
Olga,2001,11,28,12,32.4,-56.2,hurricane,1,75
Olga,2001,11,28,18,31.4,-57,hurricane,1,70
Olga,2001,11,29,0,30.3,-57.6,hurricane,1,65
Olga,2001,11,29,6,29.3,-58.7,tropical storm,0,60
Olga,2001,11,29,12,28.4,-60.1,tropical storm,0,60
Olga,2001,11,29,18,27.3,-61.8,tropical storm,0,55
Olga,2001,11,30,0,26.2,-63.2,tropical storm,0,45
Olga,2001,11,30,6,25.3,-64.7,tropical storm,0,35
Olga,2001,11,30,12,24.5,-66.2,tropical depression,-1,30
Olga,2001,11,30,18,23.7,-67.1,tropical depression,-1,30
Olga,2001,12,1,0,23.4,-67.7,tropical depression,-1,30
Olga,2001,12,1,6,23.1,-68,tropical depression,-1,30
Olga,2001,12,1,12,22.8,-68.3,tropical depression,-1,30
Olga,2001,12,1,18,23,-68.6,tropical depression,-1,30
Olga,2001,12,2,0,23.4,-68.9,tropical storm,0,35
Olga,2001,12,2,6,24.3,-68.9,tropical storm,0,35
Olga,2001,12,2,12,25.5,-69.2,tropical storm,0,40
Olga,2001,12,2,18,26.4,-69.5,tropical storm,0,40
Olga,2001,12,3,0,27,-69.7,tropical storm,0,35
Olga,2001,12,3,6,27.4,-69.9,tropical storm,0,35
Olga,2001,12,3,12,27.8,-69.9,tropical storm,0,35
Olga,2001,12,3,18,27.7,-69.6,tropical storm,0,35
Olga,2001,12,4,0,27.7,-69.1,tropical depression,-1,30
Olga,2001,12,4,6,27.8,-68.2,tropical depression,-1,30
Olga,2001,12,4,12,27.8,-68,tropical depression,-1,30
Olga,2001,12,4,18,27,-67.4,tropical depression,-1,30
Arthur,2002,7,14,18,34.3,-76.8,tropical depression,-1,30
Arthur,2002,7,15,0,35,-75.1,tropical depression,-1,30
Arthur,2002,7,15,6,35.5,-73.3,tropical storm,0,35
Arthur,2002,7,15,12,36.1,-71,tropical storm,0,45
Arthur,2002,7,15,18,36.8,-68.2,tropical storm,0,45
Arthur,2002,7,16,0,37.9,-65.1,tropical storm,0,50
Arthur,2002,7,16,6,38.6,-61.7,tropical storm,0,50
Arthur,2002,7,16,12,40.5,-57.9,tropical storm,0,50
Arthur,2002,7,16,18,42.5,-54.5,tropical storm,0,50
Cristobal,2002,8,5,18,32,-77.2,tropical depression,-1,30
Cristobal,2002,8,6,0,31.5,-77.1,tropical depression,-1,30
Cristobal,2002,8,6,6,31.1,-77,tropical depression,-1,30
Cristobal,2002,8,6,12,30.7,-76.6,tropical depression,-1,30
Cristobal,2002,8,6,18,30.4,-76.4,tropical storm,0,35
Cristobal,2002,8,7,0,30.1,-76.2,tropical storm,0,40
Cristobal,2002,8,7,6,29.7,-76.2,tropical storm,0,40
Cristobal,2002,8,7,12,29.4,-76,tropical storm,0,40
Cristobal,2002,8,7,18,29.7,-75.7,tropical storm,0,40
Cristobal,2002,8,8,0,29.7,-75.3,tropical storm,0,45
Cristobal,2002,8,8,6,29.7,-74.9,tropical storm,0,45
Cristobal,2002,8,8,12,29.9,-74,tropical storm,0,45
Cristobal,2002,8,8,18,31,-72,tropical storm,0,45
Edouard,2002,9,1,18,29.2,-78.8,tropical depression,-1,30
Edouard,2002,9,2,0,29.7,-79.1,tropical depression,-1,30
Edouard,2002,9,2,6,30.1,-79.7,tropical storm,0,35
Edouard,2002,9,2,12,30.4,-79.6,tropical storm,0,35
Edouard,2002,9,2,18,30.5,-79,tropical storm,0,35
Edouard,2002,9,3,0,30.5,-78.6,tropical storm,0,35
Edouard,2002,9,3,6,30.4,-78.5,tropical storm,0,35
Edouard,2002,9,3,12,30.4,-78.4,tropical storm,0,55
Edouard,2002,9,3,18,30,-79,tropical storm,0,45
Edouard,2002,9,4,0,29.9,-79.1,tropical storm,0,40
Edouard,2002,9,4,6,29.9,-79.5,tropical storm,0,35
Edouard,2002,9,4,12,29.9,-79.8,tropical storm,0,35
Edouard,2002,9,4,18,29.7,-80.5,tropical storm,0,35
Edouard,2002,9,5,0,29.4,-81,tropical storm,0,35
Edouard,2002,9,5,0,29.4,-81.1,tropical storm,0,35
Edouard,2002,9,5,6,29.2,-81.6,tropical depression,-1,25
Edouard,2002,9,5,12,28.9,-82.4,tropical depression,-1,20
Edouard,2002,9,5,18,28.6,-83.4,tropical depression,-1,20
Edouard,2002,9,6,0,28.4,-83.9,tropical depression,-1,20
Edouard,2002,9,6,6,28.3,-84.7,tropical depression,-1,20
Edouard,2002,9,6,12,28.5,-86,tropical depression,-1,20
Fay,2002,9,5,18,28,-93.8,tropical depression,-1,30
Fay,2002,9,6,0,27.8,-93.9,tropical storm,0,35
Fay,2002,9,6,6,27.6,-94.1,tropical storm,0,45
Fay,2002,9,6,12,27.7,-94.5,tropical storm,0,50
Fay,2002,9,6,18,27.8,-94.7,tropical storm,0,50
Fay,2002,9,7,0,27.9,-95,tropical storm,0,50
Fay,2002,9,7,6,28.1,-95.6,tropical storm,0,50
Fay,2002,9,7,9,28.5,-96.3,tropical storm,0,50
Fay,2002,9,7,12,29.1,-96.9,tropical depression,-1,30
Fay,2002,9,7,18,28.9,-98.5,tropical depression,-1,25
Fay,2002,9,8,0,28.9,-98.9,tropical depression,-1,20
AL072002,2002,9,7,12,24.3,-47.5,tropical depression,-1,30
AL072002,2002,9,7,18,24.5,-48.2,tropical depression,-1,30
AL072002,2002,9,8,0,24.5,-49.1,tropical depression,-1,30
AL072002,2002,9,8,6,24.5,-50.2,tropical depression,-1,25
AL072002,2002,9,8,12,24.4,-51.3,tropical depression,-1,25
Gustav,2002,9,10,12,33.7,-75.4,tropical storm,0,50
Gustav,2002,9,10,18,35,-75.4,tropical storm,0,55
